Plant Name
California Black Walnut
Common Yarrow
Showy Penstemon
Narrowleaf Milkweed
White Sage
Hummingbird Sage
California Wild Grape
Stinging Nettle
Catalina Cherry
Coast Live Oak
Coyote Brush
Prickly Pear Cactus
Coastal Prickly Pear
Cholla
California Coffeeberry
Golden Currant
Mulefat
Blue Elderberry
California Buckwheat
Black Mustard
Miners Lettuce
Desert Dandelion
Common Dandelion
Common Sowthistle
Common Elderberry
Desert Sunflower
Sticky Monkeyflower
Mediterranean Sage
California Buckwheat
Sun Cup
California Sunflower
Chaparral Nightshade
California Wild Rose
Fuchsia-flowered Gooseberry
Laurel Sumac
Matilija Poppy
Western Sycamore
Chinese Holly
Black Sage
Purple Sage
Bladder Sage
California Sagebrush
California Lilac
Western Columbine
Scarlet Columbine
Penstemon
Western Redbud
Coastal Sunflower
Coral Canyon California Fuchsia
Western Mahogany
Coyote Brush
Sugar Bush
California Poppy
Poison Oak
Fremont Cottonwood
Purple Nightshade
Wild Radish
Bermuda Buttercup
Golden Yarrow
Showy Milkweed
California Barberry
Desert Willow
California Buttercup
Prickly Sowthistle
Prickly Lettuce
Prickly Poppy
California Hedge Nettle
Western Redbud
Toyon
Chamise
Common Manzanita
Lemonade Berry
Flannel Bush
Deerweed
Woolly Blue Curls
Bush Lupine
Hollyleaf Redberry
Chaparral Clematis
Wild Cucumber
Blue Blossom Ceanothus
Bigberry Manzanita
Chaparral Whitethorn
Our Lord's Candle
Mojave Yucca
Beavertail Cactus
Brittlebush
Creosote Bush
Ocotillo
Desert Agave
Chaparral Pea
Mountain Mahogany
Silk Tassel Bush
Hollyleaf Cherry
Scalebroom
Bladderpod
Blue Dicks
Superb Mariposa Lily
Yellow Mariposa Lily
Ithuriel's Spear
White Globe Lily
Shooting Star
Indian Paintbrush
Owl's Clover
Tidy Tips
Baby Blue Eyes
Farewell to Spring
Globe Gilia
Chia
California Milkmaids
Miniature Lupine
Sky Lupine
Red Maids
Blue-eyed Grass
Chinese Houses
Douglas Iris
Checker Bloom
Scarlet Bugler Penstemon
Foothill Penstemon
California Goldfields
superb Mariposa Lily
Wind Poppy
Blazing Star
Woolly Sunflower
Tarweed
Mule Ears
Gumweed
Seaside Daisy
Desert Chicory
Apricot Mallow
Desert Marigold
Evening Primrose
Sand Verbena
Beach Evening Primrose
California Phacelia
Blue Phacelia
Whispering Bells
Fiesta Flower
Biscuitroot
Blue Larkspur
Scarlet Larkspur
Soap Plant
Paper Wild Onion
Harvest Brodiaea
Mission Bells
Adobe Lily
