Plant Name,Status,Category,Edibility,Usage,WNNC Location,Notes,,,,
California Black Walnut,Native,Tree,Edible,Nuts edible; dye from husks; shade tree; wildlife food; endemic,Hiking trail/Butterfly Garden/Parking Lot,,,,,
Common Yarrow,Native,Herb,Caution,Medicinal wound herb; dried arrangements; pollinator; dye plant,Butterfly Garden,,,,,
Showy Penstemon,Native,Herb,Not edible,Ornamental; hummingbird & bee plant; dry slope garden,Butterfly Garden,,,,,
Narrowleaf Milkweed,Native,Herb,Poisonous,Monarch butterfly host; wildlife; restoration planting; toxic raw,Butterfly Garden,,,,,
White Sage,Native,Shrub,Edible,Ceremonial smudging; medicinal; culinary; pollinator; cultural significance,Butterfly Garden,,,,,
Hummingbird Sage,Native,Herb,Edible,Leaves edible as tea; hummingbird plant; shade garden; medicinal,Butterfly Garden,,,,,
California Wild Grape,Native,Vine,Edible,Fruit edible fresh or dried (raisins); leaves used in cooking; wildlife food; shade arbor vine; makes tart juice and jelly,T1,,,,,
Stinging Nettle,Native,Herb,Caution,Edible cooked (nutritious); fiber for cordage; medicinal; dye plant,T1,,,,,
Catalina Cherry,Native,Shrub,Caution,Fruit eaten (pit removed); wildlife food; street tree; ornamental,T1,,,,,
Coast Live Oak,Native,Tree,Caution,Acorns leached & eaten; wildlife habitat; shade tree; wood for fuel,T1,,,,,
Coyote Brush,Native,Shrub,Not edible,Erosion control; pioneer revegetation; insect habitat; fire-resilient,T1,,,,,
Prickly Pear Cactus,Native,Cactus,Edible,Pads (nopales) & fruit (tunas) eaten; medicinal; wildlife food,T1,,,,,
Coastal Prickly Pear,Native,Cactus,Edible,Pads & fruit edible; coastal sage scrub; wildlife food; erosion,"T1, T4",,,,,
Cholla (Teddy Bear),Native,Cactus,Edible,Buds edible (roasted); ornamental; hummingbird & cactus wren habitat,T1,Jumping Cholla,,,,
California Coffeeberry,Native,Shrub,Poisonous,Medicinal laxative bark; wildlife food; hedging; native garden,"T1, T2",,,,,
Golden Currant,Native,Shrub,Edible,Berries edible; jam; wildlife food; ornamental; aromatic flowers,T1,,,,,
Mulefat,Native,Shrub,Not edible,Riparian habitat; stream bank stabilizer; butterfly & bee forage; wildlife cover; fast-growing pioneer,T1,,,,,
Blue Elderberry,Native,Shrub,Caution,Berries for jam/wine (cooked); medicinal; wildlife food; flute-making,T1,,,,,
California Buckwheat,Native,Shrub,Edible,Pollinator magnet; seeds & flowers edible; medicinal; erosion control,T1,,,,,
Black Mustard,Non-native,Herb,Edible,Edible seeds & greens; invasive weed; fire hazard; bee forage,Everywhere,,,,,
Miners Lettuce,Native,Herb,Edible,Excellent edible salad green; anti-scurvy; moist garden groundcover,Everywhere,,,,,
Desert Dandelion,Native,Herb,Edible,Edible leaves; desert wildflower display; bee forage,Everywhere,,,,,
Common Dandelion,Non-native,Herb,Edible,All parts edible; medicinal; bee forage; wine; coffee substitute,Everywhere,,,,,
Common Sowthistle,Non-native,Herb,Edible,Edible young greens; wildlife food; bee forage; common weed,T2,,,,,
Common Elderberry,Non-native,Shrub,Caution,Berries edible cooked; medicinal; wildlife food; ornamental,T2,,,,,
Desert Sunflower,Native,Herb,Edible,Seeds edible; brilliant spring display; bee forage; desert annual,T2,,,,,
Sticky Monkeyflower,Native,Shrub,Not edible,Hummingbird plant; ornamental; pollinator habitat; slope stabilizer,T2,,,,,
Mediterranean Sage,Non-native,Shrub,Not edible,Invasive shrub; fire hazard; displaces native sage scrub,T2,,,,,
California Buckwheat (Flat-top),Native,Shrub,Edible,Seeds & flowers edible; top pollinator plant; erosion control,T2,,,,,
