Plant Name,Image File Name,Status,Category,Edibility,Usage,WNNC Location,Notes,Google Search Link,
California Black Walnut,California_Black_Walnut.jpg,Native,Tree,Edible,Nuts edible; dye from husks; shade tree; wildlife food; endemic,Hiking trail/Butterfly Garden/Parking Lot,,https://www.google.com/search?q=California%20Black%20Walnut%20California%20native%20plant,
Common Yarrow,Common_Yarrow.jpg,Native,Herb,Caution,Medicinal wound herb; dried arrangements; pollinator; dye plant,Butterfly Garden,,https://www.google.com/search?q=Common%20Yarrow%20California%20native%20plant,
Showy Penstemon,Showy_Penstemon.jpg,Native,Herb,Not edible,Ornamental; hummingbird & bee plant; dry slope garden,Butterfly Garden,,https://www.google.com/search?q=Showy%20Penstemon%20California%20native%20plant,
Narrowleaf Milkweed,Narrowleaf_Milkweed.jpg,Native,Herb,Poisonous,Monarch butterfly host; wildlife; restoration planting; toxic raw,Butterfly Garden,,https://www.google.com/search?q=Narrowleaf%20Milkweed%20California%20native%20plant,
White Sage,White_Sage.jpg,Native,Shrub,Edible,Ceremonial smudging; medicinal; culinary; pollinator; cultural significance,Butterfly Garden,,https://www.google.com/search?q=White%20Sage%20California%20native%20plant,
Hummingbird Sage,Hummingbird_Sage.jpg,Native,Herb,Edible,Leaves edible as tea; hummingbird plant; shade garden; medicinal,Butterfly Garden,,https://www.google.com/search?q=Hummingbird%20Sage%20California%20native%20plant,
California Wild Grape,California_Wild_Grape.jpg,Native,Vine,Edible,Fruit edible fresh or dried (raisins); leaves used in cooking; wildlife food; shade arbor vine; makes tart juice and jelly,T1,,https://www.google.com/search?q=California%20Wild%20Grape%20California%20native%20plant,
Stinging Nettle,Stinging_Nettle.jpg,Native,Herb,Caution,Edible cooked (nutritious); fiber for cordage; medicinal; dye plant,T1,,https://www.google.com/search?q=Stinging%20Nettle%20California%20native%20plant,
Catalina Cherry,Catalina_Cherry.jpg,Native,Shrub,Caution,Fruit eaten (pit removed); wildlife food; street tree; ornamental,T1,,https://www.google.com/search?q=Catalina%20Cherry%20California%20native%20plant,
Coast Live Oak,Coast_Live_Oak.jpg,Native,Tree,Caution,Acorns leached & eaten; wildlife habitat; shade tree; wood for fuel,T1,,https://www.google.com/search?q=Coast%20Live%20Oak%20California%20native%20plant,
Coyote Brush,Coyote_Brush.jpg,Native,Shrub,Not edible,Erosion control; pioneer revegetation; insect habitat; fire-resilient,T1,,https://www.google.com/search?q=Coyote%20Brush%20California%20native%20plant,
Prickly Pear Cactus,Prickly_Pear_Cactus.jpg,Native,Cactus,Edible,Pads (nopales) & fruit (tunas) eaten; medicinal; wildlife food,T1,,https://www.google.com/search?q=Prickly%20Pear%20Cactus%20California%20native%20plant,
Coastal Prickly Pear,Coastal_Prickly_Pear.jpg,Native,Cactus,Edible,Pads & fruit edible; coastal sage scrub; wildlife food; erosion,"T1, T4",,https://www.google.com/search?q=Coastal%20Prickly%20Pear%20California%20native%20plant,
