Plant Name,Image File Name,Source URL,Status
California Black Walnut,California_Black_Walnut.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/California_Blackwalnut.jpg/960px-California_Blackwalnut.jpg,Downloaded
Common Yarrow,Common_Yarrow.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Achillea_millefolium_%28bright%29.jpg/960px-Achillea_millefolium_%28bright%29.jpg,Downloaded
Showy Penstemon,Showy_Penstemon.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Penstemon_digitalis.jpg/960px-Penstemon_digitalis.jpg,Downloaded
Narrowleaf Milkweed,Narrowleaf_Milkweed.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Asclepias_fascicularis.jpg/960px-Asclepias_fascicularis.jpg,Downloaded
White Sage,White_Sage.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Salvia_apiana_1.jpg/960px-Salvia_apiana_1.jpg,Downloaded
Hummingbird Sage,Hummingbird_Sage.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/526697773/large.jpg,Downloaded
California Wild Grape,California_Wild_Grape.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Vitis_californica_with_grapes.jpg/960px-Vitis_californica_with_grapes.jpg,Downloaded
Stinging Nettle,Stinging_Nettle.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Fen_nettle_%28Urtica_dioica_ssp._galeopsifolia%29_-_geograph.org.uk_-_5423125.jpg,Downloaded
Catalina Cherry,Catalina_Cherry.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cherry_season_%2848216568227%29.jpg/960px-Cherry_season_%2848216568227%29.jpg,Downloaded
Coast Live Oak,Coast_Live_Oak.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Quercus_agrifolia-2.jpg/960px-Quercus_agrifolia-2.jpg,Downloaded
Coyote Brush,Coyote_Brush.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Baccharis_pilularis_kz04.jpg/960px-Baccharis_pilularis_kz04.jpg,Downloaded
Prickly Pear Cactus,Prickly_Pear_Cactus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Opuntia_littoralis_var_vaseyi_4.jpg/960px-Opuntia_littoralis_var_vaseyi_4.jpg,Downloaded
Coastal Prickly Pear,Coastal_Prickly_Pear.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Opuntia_littoralis_var_vaseyi_4.jpg/960px-Opuntia_littoralis_var_vaseyi_4.jpg,Downloaded
Cholla,Cholla.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Cylindropuntia_kleiniae.jpg,Downloaded
California Coffeeberry,California_Coffeeberry.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/CoffeeBerryFruit.jpg/960px-CoffeeBerryFruit.jpg,Downloaded
Golden Currant,Golden_Currant.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Ribes_aureum_var_aureum_4.jpg/960px-Ribes_aureum_var_aureum_4.jpg,Downloaded
Mulefat,Mulefat.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Baccharis_salicifolia_1.jpg/960px-Baccharis_salicifolia_1.jpg,Downloaded
Blue Elderberry,Blue_Elderberry.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Sambucus_nigra_004.jpg/960px-Sambucus_nigra_004.jpg,Downloaded
California Buckwheat,California_Buckwheat.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Eriogonum_fasciculatum_5.jpg/960px-Eriogonum_fasciculatum_5.jpg,Downloaded
Black Mustard,Black_Mustard.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Mustard_plant_flower.jpg/960px-Mustard_plant_flower.jpg,Downloaded
Miners Lettuce,Miners_Lettuce.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Claytonia_perfoliata_6641.JPG/960px-Claytonia_perfoliata_6641.JPG,Downloaded
Desert Dandelion,Desert_Dandelion.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/DandelionFlower.jpg/960px-DandelionFlower.jpg,Downloaded
Common Dandelion,Common_Dandelion.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/DandelionFlower.jpg/960px-DandelionFlower.jpg,Downloaded
Common Sowthistle,Common_Sowthistle.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Sonchus_February_2008-1.jpg/960px-Sonchus_February_2008-1.jpg,Downloaded
Common Elderberry,Common_Elderberry.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Sambucus_nigra_004.jpg/960px-Sambucus_nigra_004.jpg,Downloaded
Desert Sunflower,Desert_Sunflower.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sunflower_sky_backdrop.jpg/960px-Sunflower_sky_backdrop.jpg,Downloaded
Sticky Monkeyflower,Sticky_Monkeyflower.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/29807440/large.jpg,Downloaded
Mediterranean Sage,Mediterranean_Sage.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Salvia_officinalis0.jpg,Downloaded
Sun Cup,Sun_Cup.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/N.macrophylla_x_lowii.jpg,Downloaded
California Sunflower,California_Sunflower.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sunflower_sky_backdrop.jpg/960px-Sunflower_sky_backdrop.jpg,Downloaded
Chaparral Nightshade,Chaparral_Nightshade.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Solanum_xanti1DawnEndico.jpg/960px-Solanum_xanti1DawnEndico.jpg,Downloaded
California Wild Rose,California_Wild_Rose.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Rosa_californica_2004-07-20.jpg/960px-Rosa_californica_2004-07-20.jpg,Downloaded
Fuchsia-flowered Gooseberry,Fuchsia_flowered_Gooseberry.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/369881879/large.jpg,Downloaded
Laurel Sumac,Laurel_Sumac.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Malosma_laurina_1.jpg/960px-Malosma_laurina_1.jpg,Downloaded
Matilija Poppy,Matilija_Poppy.jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Matilija_poppy_closeup.jpg,Downloaded
Western Sycamore,Western_Sycamore.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/38512081/large.jpg,Downloaded
Chinese Holly,Chinese_Holly.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Ilex-aquifolium_%28Europaeische_Stechpalme-1%29.jpg/960px-Ilex-aquifolium_%28Europaeische_Stechpalme-1%29.jpg,Downloaded
Black Sage,Black_Sage.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/352364687/large.jpg,Downloaded
Purple Sage,Purple_Sage.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Salvia_dorrii_4.jpg/960px-Salvia_dorrii_4.jpg,Downloaded
Bladder Sage,Bladder_Sage.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Salazaria_mexicana_4.jpg/960px-Salazaria_mexicana_4.jpg,Downloaded
California Sagebrush,California_Sagebrush.jpg,https://upload.wikimedia.org/wikipedia/commons/d/df/Sagebrushsjc.jpg,Downloaded
California Lilac,California_Lilac.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Lilac_Flower%26Leaves%2C_SC%2C_Vic%2C_13.10.2007.jpg/960px-Lilac_Flower%26Leaves%2C_SC%2C_Vic%2C_13.10.2007.jpg,Downloaded
Western Columbine,Western_Columbine.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Wald-Akelei.JPG/960px-Wald-Akelei.JPG,Downloaded
Scarlet Columbine,Scarlet_Columbine.jpg,,FAILED
Penstemon,Penstemon.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Penstemon_digitalis.jpg/960px-Penstemon_digitalis.jpg,Downloaded
Western Redbud,Western_Redbud.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/RedbudOhio02.jpg/960px-RedbudOhio02.jpg,Downloaded
Coastal Sunflower,Coastal_Sunflower.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sunflower_sky_backdrop.jpg/960px-Sunflower_sky_backdrop.jpg,Downloaded
Coral Canyon California Fuchsia,Coral_Canyon_California_Fuchsia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Mentzelialindleyi.jpg/960px-Mentzelialindleyi.jpg,Downloaded
Western Mahogany,Western_Mahogany.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Swietenia_macrophylla_%2830680883066%29.jpg,Downloaded
Sugar Bush,Sugar_Bush.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Peninsula_Sandstone_Fynbos_-_KingProtea_-_Table_Mountain.JPG/960px-Peninsula_Sandstone_Fynbos_-_KingProtea_-_Table_Mountain.JPG,Downloaded
California Poppy,California_Poppy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Kaldari_Eschscholzia_californica_01.jpg/960px-Kaldari_Eschscholzia_californica_01.jpg,Downloaded
Poison Oak,Poison_Oak.jpg,https://static.inaturalist.org/photos/14897857/large.jpeg,Downloaded
Fremont Cottonwood,Fremont_Cottonwood.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3b/Cottonwood_at_Zion_Lodge.jpg,Downloaded
Purple Nightshade,Purple_Nightshade.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Solanum_nigrum_flower.jpg,Downloaded
Wild Radish,Wild_Radish.jpg,https://upload.wikimedia.org/wikipedia/commons/7/77/Raphanus_raphanistrum_-_Deutschlands_flora_in_abbildungen_nach_der_natur_-_vol._6_-_t._40_-_clean.jpg,Downloaded
Bermuda Buttercup,Bermuda_Buttercup.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Oxalis-pes-caprae-16c-Zachi-Evenor.jpg/960px-Oxalis-pes-caprae-16c-Zachi-Evenor.jpg,Downloaded
Golden Yarrow,Golden_Yarrow.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Eriophyllum_confertiflorum_2004-04-07.jpg/960px-Eriophyllum_confertiflorum_2004-04-07.jpg,Downloaded
Showy Milkweed,Showy_Milkweed.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Danaus_plexippus_on_Asclepias_incarnata_4999.jpg/960px-Danaus_plexippus_on_Asclepias_incarnata_4999.jpg,Downloaded
California Barberry,California_Barberry.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Mahonia_aquifolium.jpg/960px-Mahonia_aquifolium.jpg,Downloaded
Desert Willow,Desert_Willow.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Chilopsis_linearis_flower_2.jpg/960px-Chilopsis_linearis_flower_2.jpg,Downloaded
California Buttercup,California_Buttercup.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Ranunculus_eschscholtzii.jpg,Downloaded
Prickly Sowthistle,Prickly_Sowthistle.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Sonchus_asper2.jpg/960px-Sonchus_asper2.jpg,Downloaded
Prickly Lettuce,Prickly_Lettuce.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Lactucaserriola2web.jpg,Downloaded
Prickly Poppy,Prickly_Poppy.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Argemone.jpg,Downloaded
California Hedge Nettle,California_Hedge_Nettle.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/25239171/large.jpg,Downloaded
Toyon,Toyon.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Heteromeles_arbutifolia_1.jpg/960px-Heteromeles_arbutifolia_1.jpg,Downloaded
Chamise,Chamise.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b7/Adenostoma_fasciculatum.jpg,Downloaded
Common Manzanita,Common_Manzanita.jpg,https://upload.wikimedia.org/wikipedia/commons/d/df/ManzanitaShrubBranches_wb.jpg,Downloaded
Lemonade Berry,Lemonade_Berry.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lemonadeberry2.jpg/960px-Lemonadeberry2.jpg,Downloaded
Flannel Bush,Flannel_Bush.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/Fremontodendron_Ken_Taylor.jpg,Downloaded
Deerweed,Deerweed.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Lotus_scoparius.jpg,Downloaded
Woolly Blue Curls,Woolly_Blue_Curls.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Trichostema_lanatum_4.jpg/960px-Trichostema_lanatum_4.jpg,Downloaded
Bush Lupine,Bush_Lupine.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Arboreus_infl.jpg,Downloaded
Hollyleaf Redberry,Hollyleaf_Redberry.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Rhamnus_ilicifolia.jpg/960px-Rhamnus_ilicifolia.jpg,Downloaded
Chaparral Clematis,Chaparral_Clematis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Clematis_lasiantha.jpg/960px-Clematis_lasiantha.jpg,Downloaded
Wild Cucumber,Wild_Cucumber.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/4666634/large.jpg,Downloaded
Blue Blossom Ceanothus,Blue_Blossom_Ceanothus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Ceanothus_thyrsiflorus.jpg/960px-Ceanothus_thyrsiflorus.jpg,Downloaded
Bigberry Manzanita,Bigberry_Manzanita.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Arctostaphylos_glauca_8S6A0992.jpg/960px-Arctostaphylos_glauca_8S6A0992.jpg,Downloaded
Chaparral Whitethorn,Chaparral_Whitethorn.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Ceanothus_leucodermis_01.jpg,Downloaded
Our Lord's Candle,Our_Lord_s_Candle.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Yucca_whipplei_2005.jpg/960px-Yucca_whipplei_2005.jpg,Downloaded
Mojave Yucca,Mojave_Yucca.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Yucca_schidigera_blooming.jpg/960px-Yucca_schidigera_blooming.jpg,Downloaded
Beavertail Cactus,Beavertail_Cactus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Wild_Opuntia_basilaris.jpg/960px-Wild_Opuntia_basilaris.jpg,Downloaded
Brittlebush,Brittlebush.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Brittlebush_stands_out_on_this_hillside.jpg/960px-Brittlebush_stands_out_on_this_hillside.jpg,Downloaded
Creosote Bush,Creosote_Bush.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Larrea_tridentata_Furnace_Creek.jpg/960px-Larrea_tridentata_Furnace_Creek.jpg,Downloaded
Ocotillo,Ocotillo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Ocotillo_GB.jpg/960px-Ocotillo_GB.jpg,Downloaded
Desert Agave,Desert_Agave.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Agave_lechuguilla.jpg/960px-Agave_lechuguilla.jpg,Downloaded
Chaparral Pea,Chaparral_Pea.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Chaparral1.jpg/960px-Chaparral1.jpg,Downloaded
Mountain Mahogany,Mountain_Mahogany.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Cercocarpus_intricatus_12.jpg/960px-Cercocarpus_intricatus_12.jpg,Downloaded
Silk Tassel Bush,Silk_Tassel_Bush.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Garrya_elliptica.jpg,Downloaded
Hollyleaf Cherry,Hollyleaf_Cherry.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Prunus_ilicifolia_ne1.jpg/960px-Prunus_ilicifolia_ne1.jpg,Downloaded
Scalebroom,Scalebroom.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Lepidospartum_latisquamum_7.jpg/960px-Lepidospartum_latisquamum_7.jpg,Downloaded
Bladderpod,Bladderpod.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/13544465/large.jpeg,Downloaded
Blue Dicks,Blue_Dicks.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Dichelostemma_capitatum_2003-02-04.jpg/960px-Dichelostemma_capitatum_2003-02-04.jpg,Downloaded
Superb Mariposa Lily,Superb_Mariposa_Lily.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Sego_lily_cm.jpg/960px-Sego_lily_cm.jpg,Downloaded
